camera_specs,display_specs
50 mp + 13 mp + 2 mp triple rear & 32 mp front camera,"6.82 inch, AMOLED Screen
Large"
48 mp + 2 mp + 2 mp triple rear & 8 mp front camera,"6.5 inch, IPS LCD Screen
Small"
50 mp + 8 mp + 2 mp triple rear & 32 mp front camera,"6.67 inch, AMOLED Screen
Average"
180 mp + 50 mp + 50 mp triple rear & 50 mp dual front camera,"6.8 inch, OLED Screen
Average"
13 mp rear & 8 mp front camera,"6.26 inch Screen
Small"
13 mp dual rear & 5 mp front camera,"6.52 inch, IPS Screen
Small"
50 mp rear & 8 mp front camera,"6.56 inch, IPS Screen
Small"
8 mp + depth sensor dual rear & 5 mp front camera,"6.54 inch, LCD Screen
Average"
13 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.35 inch, LCD Screen
Small"
13 mp + 2 mp + 2 mp triple rear & 5 mp front camera,"6.52 inch, IPS LCD Screen
Average"
12 mp + 12 mp + 12 mp triple rear & 12 mp front camera,"6.7 inch, OLED Screen
Small"
48 mp + 8 mp + 2 mp triple rear & 8 mp front camera,"6.53 inch, IPS LCD Screen
Small"
13 mp + 2 mp + 0.1 mp triple rear & 8 mp front camera,"6.82 inch, IPS LCD Screen
Large"
13 mp + 2 mp + 2 mp triple rear & 5 mp front camera,"5.5 inch, IPS Screen
Small"
50 mp + 12 mp + 8 mp triple rear & 50 mp front camera,"6.78 inch, AMOLED Screen
Large"
64 mp + 50 mp + 50 mp triple rear & 32 mp front camera,"6.78 inch, LTPO AMOLED Screen
Average"
50 mp + 2 mp + 2 mp triple rear & 16 mp front camera,"6.58 inch, IPS LCD Screen
Small"
50 mp + 0.08 mp dual rear & 16 mp front camera,"6.78 inch, IPS Screen
Large"
64 mp quad rear & 32 mp + 8 mp dual front camera,"6.5 inch, AMOLED Screen
Small"
50 mp dual rear & 8 mp front camera,"6.67 inch, IPS LCD Screen
Average"
108 mp + 2 mp + 2 mp triple rear & 32 mp front camera,"6.78 inch, AMOLED Screen
Large"
50 mp + 50 mp + 50 mp triple rear & 32 mp front camera,"6.82 inch, LTPO AMOLED Screen
Large"
64 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.58 inch, IPS LCD Screen
Small"
50 mp + 2 mp dual rear & 5 mp front camera,"6.7 inch, IPS LCD Screen
Large"
50 mp + 12 mp + 2 mp triple rear & 16 mp front camera,"6.74 inch, IPS Screen
Large"
48 mp quad rear & 16 mp front camera,"6.5 inch, IPS LCD Screen
Small"
48 mp + 2 mp + 2 mp triple rear & 16 mp front camera,"6.5 inch, IPS LCD Screen
Small"
12 mp + 2 mp + 2 mp triple rear & 8 mp front camera,"6.5 inch, IPS LCD Screen
Small"
48 mp quad rear & 16 mp front camera,"6.4 inch, AMOLED Screen
Small"
50 mp + 5 mp + 2 mp triple rear & 13 mp front camera,"6.7 inch, Super AMOLED Screen
Large"
64 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.78 inch, IPS LCD Screen
Large"
50 mp + 2 mp dual rear & 16 mp front camera,"6.7 inch, OLED Screen
Largest"
48 mp + 8 mp + 5 mp triple rear & 13 mp front camera,"6.5 inch, IPS LCD Screen
Small"
48 mp + 8 mp + 2 mp triple rear & 13 mp front camera,"6.67 inch, AMOLED Screen
Average"
50 mp + 50 mp dual rear & 32 mp front camera,"6.3 inch, Super AMOLED LTPS Screen
Small"
200 mp + 8 mp + 2 mp triple rear & 32 mp front camera,"6.7 inch, AMOLED Screen
Average"
20.7 mp rear & 2 mp front camera,"4.8 inch, Super AMOLED Screen
Small"
48 mp + 20 mp + 8 mp triple rear & 16 mp front camera,"6.3 inch, IPS LCD Screen
Small"
16 mp + 5 mp + 2 mp triple rear & 8 mp front camera,"5.7 inch, IPS LCD Screen
Small"
